iter	Passed	Remaining
687	1077	488
688	1078	487
689	1079	485
690	1081	483
691	1083	482
692	1084	480
693	1085	478
694	1087	477
695	1088	475
696	1089	473
697	1090	471
698	1091	470
699	1092	468
700	1093	466
701	1094	464
702	1095	462
703	1099	462
704	1101	460
705	1102	459
706	1103	457
707	1104	455
708	1105	453
709	1106	451
710	1107	450
711	1108	448
712	1109	446
713	1110	444
714	1114	444
715	1115	442
716	1116	440
717	1117	438
718	1118	437
719	1119	435
720	1120	433
721	1121	431
722	1122	430
723	1123	428
724	1124	426
725	1127	425
726	1129	424
727	1130	422
728	1131	420
729	1132	418
730	1133	417
731	1134	415
732	1135	413
733	1136	411
734	1137	410
735	1138	408
736	1139	406
737	1142	405
738	1144	404
739	1145	402
740	1146	400
741	1147	398
742	1148	397
743	1149	395
744	1150	393
745	1151	392
746	1152	390
747	1153	388
748	1154	386
749	1157	385
750	1159	384
751	1160	382
752	1161	381
753	1162	379
754	1163	377
755	1164	375
756	1165	374
757	1166	372
758	1167	370
759	1169	369
760	1172	368
761	1173	366
762	1174	364
763	1175	363
764	1176	361
765	1177	359
766	1179	358
767	1180	356
768	1181	354
769	1182	353
770	1183	351
771	1184	349
772	1187	348
773	1188	346
774	1189	345
775	1190	343
776	1191	341
777	1192	340
778	1193	338
779	1194	337
780	1195	335
781	1196	333
782	1197	331
783	1198	330
784	1201	329
785	1203	327
786	1204	325
787	1204	324
788	1206	322
789	1207	320
790	1208	319
791	1209	317
792	1209	315
793	1210	314
794	1211	312
795	1212	310
796	1215	309
797	1217	308
798	1218	306
799	1219	304
800	1220	303
801	1221	301
802	1222	299
803	1223	298
804	1224	296
805	1225	294
806	1225	293
807	1226	291
808	1228	290
809	1230	288
810	1231	287
811	1232	285
812	1233	283
813	1234	282
814	1235	280
815	1236	278
816	1237	277
817	1238	275
818	1239	273
819	1240	272
820	1241	270
821	1243	269
822	1245	267
823	1246	266
824	1247	264
825	1248	262
826	1249	261
827	1250	259
828	1251	258
829	1253	256
830	1254	255
831	1255	253
832	1256	251
833	1258	250
834	1260	249
835	1262	247
836	1263	246
837	1264	244
838	1265	242
839	1267	241
840	1268	239
841	1269	238
842	1269	236
843	1270	234
844	1273	233
845	1275	232
846	1276	230
847	1278	229
848	1280	227
849	1281	226
850	1283	224
851	1284	223
852	1285	221
853	1288	220
854	1292	219
855	1295	217
856	1300	216
857	1301	215
858	1303	213
859	1304	212
860	1306	210
861	1308	209
862	1309	207
863	1311	206
864	1312	204
865	1313	203
866	1317	202
867	1318	200
868	1320	199
869	1321	197
870	1322	195
871	1323	194
872	1324	192
873	1325	191
874	1326	189
875	1327	187
876	1327	186
877	1329	184
878	1332	183
879	1334	181
880	1335	180
881	1336	178
882	1337	177
883	1338	175
884	1339	174
885	1340	172
886	1341	170
887	1342	169
888	1343	167
889	1346	166
890	1347	164
891	1349	163
892	1351	161
893	1352	160
894	1353	158
895	1354	157
896	1355	155
897	1356	154
898	1358	152
899	1361	151
900	1362	149
901	1364	148
902	1365	146
903	1366	145
904	1368	143
905	1369	142
906	1370	140
907	1371	139
908	1373	137
909	1375	136
910	1376	134
911	1377	132
912	1378	131
913	1379	129
914	1380	128
915	1381	126
916	1382	125
917	1383	123
918	1384	122
919	1386	120
920	1387	119
921	1388	117
922	1390	115
923	1391	114
924	1392	112
925	1393	111
926	1394	109
927	1395	108
928	1396	106
929	1397	105
930	1398	103
931	1399	102
932	1400	100
933	1403	99
934	1404	97
935	1406	96
936	1407	94
937	1408	93
938	1409	91
939	1410	90
940	1411	88
941	1412	86
942	1413	85
943	1414	83
944	1415	82
945	1418	80
946	1419	79
947	1420	77
948	1421	76
949	1422	74
950	1423	73
951	1424	71
952	1425	70
953	1426	68
954	1427	67
955	1428	65
956	1429	64
957	1430	62
958	1432	61
959	1433	59
960	1434	58
961	1435	56
962	1436	55
963	1437	53
964	1438	52
965	1439	50
966	1441	49
967	1442	47
968	1444	46
969	1447	44
970	1448	43
971	1450	41
972	1452	40
973	1453	38
974	1454	37
975	1455	35
976	1456	34
977	1457	32
978	1458	31
979	1459	29
980	1462	28
981	1463	26
982	1464	25
983	1465	23
984	1466	22
985	1467	20
986	1468	19
987	1469	17
988	1470	16
989	1471	14
990	1472	13
991	1473	11
992	1474	10
993	1476	8
994	1478	7
995	1479	5
996	1480	4
997	1481	2
998	1482	1
999	1483	0
